nome_municipio,codigo_ibge,idhm_educa,idhm_renda,qtd_pes_baixa_renda,qtd_pes_pob
Abadia de Goiás (GO),520005,0.622,0.687,4091,6866
Abadia dos Dourados (MG),310010,0.563,0.693,685,956
Abadiânia (GO),520010,0.579,0.671,2876,3406
Abaeté (MG),310020,0.556,0.72,2754,3825
Abaetetuba (PA),150010,0.537,0.579,17670,92607
Abaiara (CE),230010,0.612,0.54,1379,4893
Abaíra (BA),290010,0.51,0.577,825,3574
Abaré (BA),290020,0.46,0.533,2449,9679
Abatiá (PR),410010,0.596,0.676,1327,1002
Abdon Batista (SC),420005,0.625,0.66,400,420
Abel Figueiredo (PA),150013,0.481,0.625,792,3564
Abelardo Luz (SC),420010,0.578,0.684,2051,3660
Abre Campo (MG),310030,0.525,0.646,1274,3483
Abreu E Lima (PE),260005,0.632,0.625,13494,38435
Abreulândia (TO),170025,0.502,0.7,605,540
Acaiaca (MG),310040,0.499,0.61,547,1071
Açailândia (MA),210005,0.602,0.643,16241,27771
Acajutiba (BA),290030,0.487,0.56,1890,7072
Acará (PA),150020,0.332,0.517,7648,36838
Acarape (CE),230015,0.562,0.559,2632,6986
Acaraú (CE),230020,0.517,0.554,7912,33781
Acari (RN),240010,0.634,0.633,1929,2682
Acauã (PI),220005,0.411,0.517,923,3496
Aceguá (RS),430003,0.541,0.703,569,826
Acopiara (CE),230030,0.517,0.563,5447,20677
Acorizal (MT),510010,0.51,0.594,759,2230
Acrelândia (AC),120001,0.466,0.584,2487,5564
Acreúna (GO),520013,0.553,0.71,3627,2808
Açu (RN),240020,0.568,0.641,10233,20333
Açucena (MG),310050,0.451,0.595,1383,2323
Adamantina (SP),350010,0.75,0.772,2544,1624
Adelândia (GO),520015,0.622,0.664,485,464
Adolfo (SP),350020,0.648,0.71,548,442
Adrianópolis (PR),410020,0.563,0.644,1162,1255
Adustina (BA),290035,0.432,0.526,1942,7160
Afogados da Ingazeira (PE),260010,0.565,0.623,7604,14961
Afonso Bezerra (RN),240030,0.502,0.56,1226,5927
Afonso Cláudio (ES),320010,0.544,0.661,6712,4387
Afonso Cunha (MA),210010,0.434,0.471,617,5443
Afrânio (PE),260020,0.493,0.542,2916,8937
Afuá (PA),150030,0.311,0.485,4772,31232
Agrestina (PE),260030,0.47,0.581,2750,13083
Agricolândia (PI),220010,0.526,0.55,767,2425
Agrolândia (SC),420020,0.633,0.727,624,400
Agronômica (SC),420030,0.595,0.774,267,164
Água Azul do Norte (PA),150034,0.399,0.563,1684,6528
Água Boa (MG),310060,0.403,0.594,1946,4800
Água Boa (MT),510020,0.646,0.723,3620,1939
Água Branca (AL),270010,0.432,0.527,3710,8421
Água Branca (PB),250010,0.484,0.542,1476,4631
Água Branca (PI),220020,0.569,0.6,1648,8624
Água Clara (MS),500020,0.518,0.705,2107,4262
Água Comprida (MG),310070,0.498,0.719,176,513
Água Doce (SC),420040,0.574,0.724,835,157
Água Doce do Maranhão (MA),210015,0.363,0.494,1533,6999
Água Doce do Norte (ES),320016,0.546,0.619,1594,4429
Água Fria (BA),290040,0.422,0.529,1129,8990
Água Fria de Goiás (GO),520017,0.55,0.672,1091,1170
Água Limpa (GO),520020,0.663,0.691,305,687
Água Nova (RN),240040,0.572,0.527,656,1222
Água Preta (PE),260040,0.432,0.514,3663,11837
Água Santa (RS),430005,0.59,0.84,227,576
Aguaí (SP),350030,0.606,0.703,3453,5787
Aguanil (MG),310080,0.513,0.672,699,895
Águas Belas (PE),260050,0.385,0.546,3734,27851
Águas da Prata (SP),350040,0.716,0.75,794,607
Águas de Chapecó (SC),420050,0.629,0.712,653,474
Águas de Lindóia (SP),350050,0.675,0.725,1519,1110
Águas de Santa Bárbara (SP),350055,0.695,0.744,684,1139
Águas de São Pedro (SP),350060,0.825,0.849,198,153
Águas Formosas (MG),310090,0.531,0.624,2447,7947
Águas Frias (SC),420055,0.661,0.728,211,82
Águas Lindas de Goiás (GO),520025,0.588,0.647,34675,66395
Águas Mornas (SC),420060,0.606,0.731,378,462
Águas Vermelhas (MG),310100,0.458,0.586,1783,6325
Agudo (RS),430010,0.524,0.752,1313,2218
Agudos (SP),350070,0.694,0.705,3401,3433
Agudos do Sul (PR),410030,0.543,0.671,1669,2359
Águia Branca (ES),320013,0.595,0.66,1511,2457
Aguiar (PB),250020,0.447,0.632,731,2277
Aguiarnópolis (TO),170030,0.571,0.618,1255,1148
Aimorés (MG),310110,0.576,0.685,3444,5673
Aiquara (BA),290060,0.471,0.573,681,1834
Aiuaba (CE),230040,0.474,0.518,1620,7674
Aiuruoca (MG),310120,0.505,0.677,656,513
Ajuricaba (RS),430020,0.658,0.763,438,565
Alagoa (MG),310130,0.518,0.634,244,791
Alagoa Grande (PB),250030,0.43,0.576,3932,13084
Alagoa Nova (PB),250040,0.451,0.567,3741,8686
Alagoinha (PB),250050,0.462,0.574,1591,7325
Alagoinha (PE),260060,0.472,0.569,1614,6848
Alagoinha do Piauí (PI),220025,0.391,0.535,759,3267
Alagoinhas (BA),290070,0.592,0.681,19003,52256
Alambari (SP),350075,0.658,0.682,816,499
Albertina (MG),310140,0.549,0.684,335,639
Alcântara (MA),210020,0.475,0.525,1879,12712
Alcântaras (CE),230050,0.524,0.549,2621,3418
Alcantil (PB),250053,0.458,0.55,894,2511
Alcinópolis (MS),500025,0.572,0.733,624,1221
Alcobaça (BA),290080,0.476,0.611,4280,11731
Aldeias Altas (MA),210030,0.374,0.5,3069,11411
Alecrim (RS),430030,0.522,0.683,642,991
Alegre (ES),320020,0.63,0.708,3735,6669
Alegrete (RS),430040,0.664,0.72,7862,8509
Alegrete do Piauí (PI),220027,0.475,0.564,559,2163
Alegria (RS),430045,0.572,0.717,396,629
Além Paraíba (MG),310150,0.626,0.713,4359,6874
Alenquer (PA),150040,0.436,0.529,5052,36802
Alexandria (RN),240050,0.491,0.581,2104,5226
Alexânia (GO),520030,0.568,0.664,3326,10312
Alfenas (MG),310160,0.712,0.737,8139,12301
Alfredo Chaves (ES),320030,0.611,0.703,1721,1759
Alfredo Marcondes (SP),350080,0.71,0.682,563,511
Alfredo Vasconcelos (MG),310163,0.587,0.629,1508,911
Alfredo Wagner (SC),420070,0.481,0.702,1088,1128
Algodão de Jandaíra (PB),250057,0.413,0.532,358,1873
Alhandra (PB),250060,0.465,0.544,3665,9672
Aliança (PE),260070,0.488,0.565,4822,17305
Aliança do Tocantins (TO),170035,0.596,0.61,948,1525
Almadina (BA),290090,0.421,0.563,379,2675
Almas (TO),170040,0.524,0.616,1463,2509
Almeirim (PA),150050,0.497,0.659,4165,18093
Almenara (MG),310170,0.518,0.636,5680,13370
Almino Afonso (RN),240060,0.568,0.578,674,2310
Almirante Tamandaré (PR),410040,0.575,0.706,17149,15518
Almirante Tamandaré do Sul (RS),430047,0.669,0.732,109,121
Aloândia (GO),520050,0.585,0.694,326,357
Alpercata (MG),310180,0.521,0.629,1082,2331
Alpestre (RS),430050,0.543,0.7,788,468
Alpinópolis (MG),310190,0.629,0.703,2613,2447
Alta Floresta (MT),510025,0.629,0.709,6424,8454
Alta Floresta D'Oeste (RO),110001,0.526,0.657,3784,4063
Altair (SP),350090,0.581,0.698,369,454
Altamira (PA),150060,0.548,0.662,19831,38914
Altamira do Maranhão (MA),210040,0.473,0.486,403,4138
Altamira do Paraná (PR),410045,0.571,0.667,753,595
Altaneira (CE),230060,0.515,0.547,991,4042
Alterosa (MG),310200,0.536,0.657,1659,2793
Altinho (PE),260080,0.482,0.559,2264,10571
Altinópolis (SP),350100,0.635,0.726,1768,3176
